"filename", "language", "TypeScript", "SCSS", "Markdown", "vue", "comment", "blank", "total"
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/Editor.vue", "vue", 0, 0, 0, 135, 0, 10, 145
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/README.md", "Markdown", 0, 0, 216, 0, 11, 128, 355
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/builder.ts", "TypeScript", 430, 0, 0, 0, 135, 68, 633
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/fields/array.ts", "TypeScript", 58, 0, 0, 0, 0, 9, 67
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/fields/boolean.ts", "TypeScript", 8, 0, 0, 0, 0, 2, 10
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/fields/field.ts", "TypeScript", 114, 0, 0, 0, 11, 21, 146
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/fields/file.ts", "TypeScript", 18, 0, 0, 0, 27, 7, 52
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/fields/index.ts", "TypeScript", 74, 0, 0, 0, 8, 6, 88
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/fields/object.ts", "TypeScript", 18, 0, 0, 0, 1, 4, 23
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/fields/text.ts", "TypeScript", 39, 0, 0, 0, 11, 5, 55
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/index.ts", "TypeScript", 2, 0, 0, 0, 0, 2, 4
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/model.ts", "TypeScript", 296, 0, 0, 0, 81, 34, 411
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/array.ts", "TypeScript", 109, 0, 0, 0, 3, 11, 123
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/checkboxgroup.ts", "TypeScript", 25, 0, 0, 0, 4, 4, 33
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/dateTime.ts", "TypeScript", 2, 0, 0, 0, 0, 2, 4
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/fieldNode.ts", "TypeScript", 174, 0, 0, 0, 55, 31, 260
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/fieldWrap.ts", "TypeScript", 146, 0, 0, 0, 11, 20, 177
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/file.ts", "TypeScript", 190, 0, 0, 0, 35, 16, 241
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/form.ts", "TypeScript", 17, 0, 0, 0, 14, 5, 36
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/index.ts", "TypeScript", 78, 0, 0, 0, 3, 4, 85
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/input.ts", "TypeScript", 88, 0, 0, 0, 31, 7, 126
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/node.ts", "TypeScript", 26, 0, 0, 0, 16, 7, 49
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/object.ts", "TypeScript", 78, 0, 0, 0, 9, 10, 97
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/select.ts", "TypeScript", 47, 0, 0, 0, 8, 4, 59
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/nodes/textarea.ts", "TypeScript", 13, 0, 0, 0, 7, 3, 23
"/Users/yangyue/project/tms-vue3-kit/packages/tms-vue3-ui/src/json-doc/tailwind.scss", "SCSS", 0, 22, 0, 0, 0, 6, 28
"Total", "-", 2050, 22, 216, 135, 481, 426, 3330